Mean Speckle Flow Index,Mean Speckle Contrast
14527.694846841418,0.06069119090841326
14793.796818288482,0.06013859192839516
14892.310245715193,0.05994106795296981
15113.263256995919,0.05952242373600002
15111.36819640969,0.05959436783175405
15041.587000265135,0.059768146854006526
14861.46845517511,0.06001621370929666
14565.186020536386,0.06061337947137871
14255.417073977098,0.061252006711537375
14148.898994967845,0.061510663191732796
14122.549686037917,0.06157372217751143
14084.303273910487,0.061687859969943366
14066.791272512311,0.0617418719150653
13906.275990163454,0.06208758962950566
13900.934499027186,0.062082337890797396
13854.699511750092,0.06220280866516133
13763.048250165411,0.062438083256103526
13758.450366297286,0.06246786537371472
13728.274927464141,0.06255508715954265
14157.686616648542,0.06155869155820425
15115.71190686836,0.05956152771034761
15774.767602983631,0.05830870007795917
16027.369480867765,0.057910970700807335
15852.06665722697,0.058146446141771904
15324.84468982078,0.05910634502320542
15097.683437054171,0.05958718420468697
14872.4827978017,0.060063831963799955
14690.782648027156,0.06043119221737259
14517.059284772724,0.06078938272444748
14267.67997378139,0.061329200813124526
14076.872843465191,0.06174095781884645
14198.927738135459,0.06145551678828879
14339.079731640642,0.06117287904322001
14419.572454066933,0.06103813945943342
14537.91740644605,0.06076889209365774
14703.459969038313,0.06042605896762291
14523.181840749035,0.06078768370583991
14357.808233545558,0.06114898169917661
14132.680883920431,0.0616058342302865
13944.31726902919,0.062059142631274385
13787.024707800116,0.062379961416939154
13413.823444418944,0.06319236450046611
13067.94905475323,0.06402136422218599
12966.502709965336,0.06427451405055545
13072.50778349337,0.0640828047302009
13192.579444970992,0.06394271992094716
13118.653259295588,0.06422270697099614
13176.490799795942,0.06400005722707318
13225.787430724647,0.06376725055582924
13092.63960759679,0.06412855653677887
13048.838988534595,0.06425280301140746
13507.227435891537,0.06309987405475925
14558.339703708121,0.060763635904356496
15434.329589964362,0.058980144927552755
15668.881002440176,0.05849927330481776
15304.292674687764,0.05914024323050926
14717.235065286335,0.06030427015495628
14245.02100540784,0.0613015814062124
13964.672598207198,0.06197978738889327
13577.349788404625,0.06293145658077291
13388.230031154664,0.06341358042500152
13102.976370774068,0.06404761224847451
12955.669624306705,0.06445979900739017
13170.08668681796,0.06388666356775757
13308.175984249521,0.0635606317330878
13434.665209640521,0.06327580157869797
13584.951304148595,0.06287301032844902
13549.303254616345,0.0629130999019803
13323.609072780042,0.0634668867470544
13086.99835096257,0.06406183455759068
12665.867306454147,0.06517916513676175
12397.183766891898,0.06593824531260231
12141.964869335923,0.06664502714261213
12126.340527173037,0.06671534637200696
12114.701178027284,0.06677559893269433
